Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 65536, 1, 4, 512, 0.464286, 0.464059, N/A, 0.0452934, 0.0525483, 22.6326, 0.148033, 4, 2, 1, 1, 4, 1, 31.1536, 2, 2, 1, 1, 2, 1, 75.6284, 
22, 65536, 1, 4, 512, 0.464286, 0.464059, N/A, 0.0452934, 0.0525483, 22.6326, 0.148033, 4, 2, 1, 1, 4, 1, 31.1536, 2, 2, 1, 1, 2, 1, 75.6284, 
22, 65536, 1, 4, 512, 0.464286, 0.464059, N/A, 0.0452934, 0.0525483, 22.6326, 0.148033, 4, 2, 1, 1, 4, 1, 31.1536, 2, 2, 1, 1, 2, 1, 75.6284, 
22, 65536, 1, 4, 512, 0.464286, 0.464059, N/A, 0.0452934, 0.0525483, 22.6326, 0.148033, 4, 2, 1, 1, 4, 1, 31.1536, 2, 2, 1, 1, 2, 1, 75.6284, 
22, 65536, 1, 4, 512, 0.464286, 0.464059, N/A, 0.0452934, 0.0525483, 22.6326, 0.148033, 4, 2, 1, 1, 4, 1, 31.1536, 2, 2, 1, 1, 2, 1, 75.6284, 
22, 65536, 1, 4, 512, 0.464286, 0.464059, N/A, 0.0452934, 0.0525483, 22.6326, 0.148033, 4, 2, 1, 1, 4, 1, 31.1536, 2, 2, 1, 1, 2, 1, 75.6284, 
22, 65536, 1, 4, 512, 0.464286, 0.464059, N/A, 0.0452934, 0.0525483, 22.6326, 0.148033, 4, 2, 1, 1, 4, 1, 31.1536, 2, 2, 1, 1, 2, 1, 75.6284, 
22, 65536, 1, 4, 512, 0.464286, 0.464059, N/A, 0.0452934, 0.0525483, 22.6326, 0.148033, 4, 2, 1, 1, 4, 1, 31.1536, 2, 2, 1, 1, 2, 1, 75.6284, 
22, 65536, 1, 4, 512, 0.464286, 0.464059, N/A, 0.0452934, 0.0525483, 22.6326, 0.148033, 4, 2, 1, 1, 4, 1, 31.1536, 2, 2, 1, 1, 2, 1, 75.6284, 
22, 65536, 1, 4, 512, 0.464286, 0.464059, N/A, 0.0452934, 0.0525483, 22.6326, 0.148033, 4, 2, 1, 1, 4, 1, 31.1536, 2, 2, 1, 1, 2, 1, 75.6284, 
