Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 16777216, 1, 8, 512, 17.4928, 4.63479, N/A, 15.3553, 16.3944, 12530.9, 361.615, 16, 16, 2, 2, 8, 1, 62.8102, 64, 64, 8, 1, 4, 1, 54.25, 
22, 262144, 1, 8, 512, 3.50264, 1.09647, N/A, 3.18447, 3.407, 220.502, 11.5811, 16, 2, 1, 1, 8, 1, 24.6722, 4, 8, 1, 1, 2, 1, 54.5952, 
22, 262144, 1, 8, 512, 3.50264, 1.09647, N/A, 3.18447, 3.407, 220.502, 11.5811, 16, 2, 1, 1, 8, 1, 24.6722, 4, 8, 1, 1, 2, 1, 54.5952, 
22, 262144, 1, 8, 512, 3.50264, 1.09647, N/A, 3.18447, 3.407, 220.502, 11.5811, 16, 2, 1, 1, 8, 1, 24.6722, 4, 8, 1, 1, 2, 1, 54.5952, 
22, 262144, 1, 8, 512, 3.50264, 1.09647, N/A, 3.18447, 3.407, 220.502, 11.5811, 16, 2, 1, 1, 8, 1, 24.6722, 4, 8, 1, 1, 2, 1, 54.5952, 
22, 262144, 1, 8, 512, 3.50264, 1.09647, N/A, 3.18447, 3.407, 220.502, 11.5811, 16, 2, 1, 1, 8, 1, 24.6722, 4, 8, 1, 1, 2, 1, 54.5952, 
22, 262144, 1, 8, 512, 3.50264, 1.09647, N/A, 3.18447, 3.407, 220.502, 11.5811, 16, 2, 1, 1, 8, 1, 24.6722, 4, 8, 1, 1, 2, 1, 54.5952, 
22, 262144, 1, 8, 512, 3.50264, 1.09647, N/A, 3.18447, 3.407, 220.502, 11.5811, 16, 2, 1, 1, 8, 1, 24.6722, 4, 8, 1, 1, 2, 1, 54.5952, 
22, 262144, 1, 8, 512, 3.50264, 1.09647, N/A, 3.18447, 3.407, 220.502, 11.5811, 16, 2, 1, 1, 8, 1, 24.6722, 4, 8, 1, 1, 2, 1, 54.5952, 
22, 262144, 1, 8, 512, 3.50264, 1.09647, N/A, 3.18447, 3.407, 220.502, 11.5811, 16, 2, 1, 1, 8, 1, 24.6722, 4, 8, 1, 1, 2, 1, 54.5952, 
22, 262144, 1, 8, 512, 3.50264, 1.09647, N/A, 3.18447, 3.407, 220.502, 11.5811, 16, 2, 1, 1, 8, 1, 24.6722, 4, 8, 1, 1, 2, 1, 54.5952, 
22, 262144, 1, 8, 512, 3.50264, 1.09647, N/A, 3.18447, 3.407, 220.502, 11.5811, 16, 2, 1, 1, 8, 1, 24.6722, 4, 8, 1, 1, 2, 1, 54.5952, 
22, 262144, 1, 8, 512, 3.50264, 1.09647, N/A, 3.18447, 3.407, 220.502, 11.5811, 16, 2, 1, 1, 8, 1, 24.6722, 4, 8, 1, 1, 2, 1, 54.5952, 
